Priority,Type,Topic,SubTopic,Index,Question,Answer,Number,Personal
3,Vocab Refreshers,Cuisine,-,524,"the French term for a clear soup of ""clarified"" meat broth",consomme,Singular,No
3,Deep Cuts,Cuisine,-,525,the Spanish consomme flavored with tomato juice,Madrilene (Madrid),Singular,No
3,Discrete Facts,Cuisine,-,526,the key ingredient in French dip,Beef consomme,Singular,No
3,Deep Cuts,Cuisine,-,527,the rosy consomme that shares its name with an opera,Consomme Carmen,Singular,No
3,Deep Cuts,Cuisine,-,528,the fish consomme with crayfish and morels,George Sand Consomme,Singular,No
3,Vocab Refreshers,Cuisine,-,529,the soup from pouring beaten eggs into simmering broth,Egg drop soup,Singular,No
3,Vocab Refreshers,Cuisine,-,530,"the Iberian/Andalusian soup maybe named after ""remnants"" or ""treasury""",Gazpacho,Singular,No
3,Discrete Facts,Cuisine,-,531,"the spicy, chilled Spanish tomato soup with raw vegetables often served in a glass",Gazpacho,Singular,No
3,Vocab Refreshers,Cuisine,-,532,"the soup with little meatballs also called ""minestra maritata""",Italian wedding soup,Singular,No
3,Deep Cuts,Cuisine,-,533,the soup named after the Jewish dumplings in it,Kreplach,Singular,No
3,Vocab Refreshers,Cuisine,-,534,"the name for Yiddish wontons or Jewish ""ravioli""",Kreplach,Singular,No
3,Vocab Refreshers,Cuisine,-,535,"the thick vegetable soup from Milan named after ""big soup"" or ""to be served""",Minestrone,Singular,No
3,Discrete Facts,Cuisine,-,536,Progresso's 1st canned soup,Minestrone,Singular,No
3,Deep Cuts,Cuisine,-,537,"the Italian for ""little soup""",Minestrina,Singular,No
3,Vocab Refreshers,Cuisine,-,538,"the soup from Tamil for ""pepper water"" after they watered down soup for Brits",Mulligatawny,Singular,No
3,Discrete Facts,Cuisine,-,539,the curry-flavored cream soup with chicken or lamb,Mulligatawny,Singular,No
3,Vocab Refreshers,Cuisine,-,540,the Mexican soup with tripe (cow stomach) and hominy,Menudo,Singular,No
3,Discrete Facts,Cuisine,-,541,the soup sometimes eaten as a hangover remedy on New Year's,Menudo,Singular,No
3,Discrete Facts,Cuisine,-,542,the PR band that Ricky Martin fronted as a teen,Menudo,Singular,No
3,Discrete Facts,Cuisine,-,543,"the soup literally ""insignificant"" in Spanish",Menudo,Singular,No
3,Vocab Refreshers,Cuisine,-,544,the Japanese soup made from fermented soybean paste,Miso,Singular,No
3,Discrete Facts,Cuisine,-,545,"the Japanese soup served with green onion, cubes of tofu, and strands of seaweed at the bottom",Miso,Singular,No
3,Pavlovs,Cuisine,-,546,the soup made with a calf's head,Mock Turtle Soup,Singular,No
3,Discrete Facts,Cuisine,-,547,the soup-inspired name for an imitation article of clothing,Mock turtleneck,Singular,No
3,Discrete Facts,Cuisine,-,548,the fantasy character played by Cary Grant in 1933,The Mock Turtle,Singular,No
3,Discrete Facts,Cinema,-,549,the two movies that Cary Grant and Gary Cooper appeared in together,The Devil and the Deep; Alice in Wonderland,Plural,No
3,Vocab Refreshers,Miscellany,-,550,"the primitive diving rebreathing device named for an American navyman nicknamed ""Swede""",Momsen lungs,Singular,No
3,Vocab Refreshers,Cuisine,-,551,the other name for Potage St. Germain,Pea soup,Singular,No
3,Deep Cuts,Cuisine,-,552,the soup mentioned in Aristophanes' The Birds,pea soup,Singular,No
3,Discrete Facts,Cuisine,-,553,the alliterative served-hot soup with tripe named for a US city,Philadelphia Pepper Pot,Singular,No
3,Vocab Refreshers,Cuisine,-,554,the Italian equivalent of China's egg drop soup,Stracciatella,Singular,No
3,Discrete Facts,Cuisine,-,555,the soup invented by a Ritz-Carlton chef that was given Louis XIV legends nevertheless,Vichyssoise,Singular,No
3,Vocab Refreshers,Cuisine,-,556,"the ""iced cream soup"" with potatoes and leeks",Vichyssoise,Singular,No
3,Discrete Facts,Cuisine,-,557,the onion relative that garnishes Vichyssoise,chives,Singular,No
3,Discrete Facts,Cuisine,-,558,the creation of Chef Diat in NYC's Ritz-Carlton,Vichyssoise,Singular,No
3,Discrete Facts,The 50 States,-,559,the state that children's YouTuber Ms. Rachel (Accurso) is based in,Maine (Biddeford),Singular,No
3,Discrete Facts,The 50 States,-,560,the state that the University of New England is in,Maine,Singular,No
3,Deep Cuts,The 50 States,-,561,the tallest building in Maine,St. Joseph's (Catholic) Church in Biddeford,Singular,No
3,Discrete Facts,Nations of the World,Japan,562,the endonym for Japan,Nihon/Nippo,Singular,No
3,Discrete Facts,Nations of the World,Japan,563,the former endonym for Japan,Yamato,Singular,No
3,Discrete Facts,Nations of the World,Japan,564,the Japanese national anthem,Kimigayo,Singular,No
3,Discrete Facts,Nations of the World,Japan,565,the country with national anthem lyrics based on a 1000 year old poem,Japan,Singular,No
3,Discrete Facts,Nations of the World,Japan,566,the current pop. of Japan,123 million,Singular,No
3,Discrete Facts,Nations of the World,Japan,567,Japan's national legislature,Diet,Singular,No
3,Discrete Facts,Nations of the World,Japan,568,Japan's currency,Yen,Singular,No
3,Discrete Facts,Nations of the World,Japan,569,Japan's current emperor,Naruhito (since the 2019 abdication),Singular,No
3,Discrete Facts,Nations of the World,Japan,570,the guy formerly known as Hirohito,Emperor Showa,Singular,No
3,Discrete Facts,Nations of the World,Japan,571,the Japanese emperor between Hirohito and Naruhito,"Akihito, r. 1989-2019",Singular,No
3,Discrete Facts,Nations of the World,Japan,572,the current Japanese emperor's only child,"the daughter Princess Toshi aka ""Aiko""",Singular,No
3,Discrete Facts,Nations of the World,Japan,573,the classic of Japanese lit from c. 1002 by a lady in waiting,"""The Pillow Book"" by Sei Shonagon",Singular,No
3,Discrete Facts,Nations of the World,Japan,574,the very early Japanese novel (1000's) by Murasaki,The Tale of Genji,Singular,No
3,Discrete Facts,Nations of the World,Japan,575,the heterodox Japanese Catholic of Silence and Stained Glass Elegies,Shusaku Endo,Singular,No
3,Discrete Facts,Nations of the World,Japan,576,Shusaku Endo's Scorsese-adapted novel,Silence,Singular,No
3,Discrete Facts,Nations of the World,Japan,577,"the 1907 Japanese novel also translated as ""The Quilt""",Futon,Singular,No
3,Discrete Facts,Nations of the World,Japan,578,the confessional type of Japanese novel pioneered by Katai Tayama,"""I"" novels",Singular,No
3,Discrete Facts,Nations of the World,Japan,579,the Japanese writer of Futon,Katai Tayama,Singular,No
3,Discrete Facts,Nations of the World,Japan,580,the later-filmed 1915 Japanese short story,Rashomon,Singular,No
3,Discrete Facts,Nations of the World,Japan,581,Ryunosake Akutagawa's famous short story,Rashomon,Singular,No
3,Discrete Facts,Nations of the World,Japan,582,the famous Japanese author b. 1949 of strange Kafkaesque fantasy novels,Haruki Murakami,Singular,No
3,Discrete Facts,Nations of the World,Japan,583,Haruki Murakami's famous alphanumeric novel,1Q84,Singular,No
3,Discrete Facts,Nations of the World,Japan,584,Haruki Murakami's debut novel,Hear the Wind Sing,Singular,No
3,Discrete Facts,Nations of the World,Japan,585,Haruki Murakami's novel that's also a Beatles title,Norwegian Wood,Singular,No
3,Discrete Facts,Nations of the World,Japan,586,Haruki Murakami's recent (2024) novel,The City and its Uncertain Walls,Singular,No
3,Discrete Facts,Nations of the World,Japan,587,the Japanese novelist of Pinball 1973; Dance Dance Dance; Kafka on the Shore,Haruki Murakami,Singular,No
3,Discrete Facts,Nations of the World,Japan,588,the Haruki Murakami novel that's used as a suffix on some show titles,After Dark,Singular,No
3,Discrete Facts,Nations of the World,Japan,589,the Japanese-born British winner of the Nobel Lit Prize,Kazuo Ishiguro,Singular,No
3,Discrete Facts,Nations of the World,Japan,590,the Japanese writer of Remains of the Day (etc.),Kazuo Ishiguro,Singular,No
3,Discrete Facts,Nations of the World,Japan,591,Kazuo Ishiguro's debut novel,A Pale View of Hills (1982),Singular,No
3,Discrete Facts,Nations of the World,Japan,592,the writer of Artist of the Floating World,Kazuo Ishiguro,Singular,No
3,Discrete Facts,Nations of the World,Japan,593,the Ishiguro-based film that got 8 Oscar noms (0 wins),The Remains of the Day,Singular,No
3,Discrete Facts,Nations of the World,Japan,594,the Ishiguro novel from 2005,Never Let Me Go,Singular,No
3,Discrete Facts,Nations of the World,Japan,595,Kazuo Ishiguro's recent (2021) novel,Klara and the Sun,Singular,No
3,Discrete Facts,Nations of the World,Japan,596,the movie that Kazuo Ishiguro got an Oscar nom for Adapted Screenplay for,Living (2022 Brit film with Bill Nighy),Singular,No
3,Discrete Facts,Nations of the World,Japan,597,the movie that was adapted from Kurosawa's 1952 Ikiru,Living (2022 Brit film with Bill Nighy),Singular,No
3,Discrete Facts,Nations of the World,Japan,598,"the term for Japanese ""pictures of the floating world""",Ukiyo-e,Singular,No
3,Discrete Facts,Nations of the World,Japan,599,the printmaker of 36 Views of Mount Fuji,Hokusai (1760-1849),Singular,No
3,Discrete Facts,Nations of the World,Japan,600,"the last word in the famous ""Great Wave off…""",Kanagawa,Singular,No
3,Discrete Facts,Nations of the World,Japan,601,"the number of ""Views of Mount Fuji""",36 as per the title but 46 ultimately,Singular,No
3,Discrete Facts,Nations of the World,Japan,602,the Japanese contemporary artist b. 1962 who's done cover art for Kanye Juice WRLD et al,Takashi Murakami,Singular,No
3,Discrete Facts,Nations of the World,Japan,603,the Japanese term for hyper-fandom,Otaku,Singular,No
3,Discrete Facts,Nations of the World,Japan,604,THE Japanese filmmaker (1910-98),Akira Kurosawa,Singular,No
3,Discrete Facts,Nations of the World,Japan,605,the Japanese master of disaster filmmaker (1911-93) who created Godzilla,Ishiro Honda,Singular,No
3,Discrete Facts,Nations of the World,Japan,606,the first year where King Kong faced off against Godzilla,1962,Singular,No
3,Discrete Facts,Nations of the World,Japan,607,the Japanese genre of monsters,Kaiju,Singular,No
3,Discrete Facts,Nations of the World,Japan,608,the Studio Ghibli co-founder (1985),Hayao Miyazaki (b. 1941),Singular,No
3,Discrete Facts,Nations of the World,Japan,609,the Japanese animator who worked on a Gulliver movie in 65 and a Puss in Boots movie in 69,Hayao Miyazaki (b. 1941),Singular,No
3,Discrete Facts,Nations of the World,Japan,610,Miyazaki's film company,Studio Ghibli,Singular,No
3,Discrete Facts,Nations of the World,Japan,611,the turtle Kaiju,Gamora,Singular,No
3,Discrete Facts,Nations of the World,Japan,612,Miyazaki's directorial debut,The Castle of Cagliostro,Singular,No
3,Discrete Facts,Nations of the World,Japan,613,Miyazaki's most recent film (2023),The Boy and the Heron,Singular,No
3,Discrete Facts,Nations of the World,Japan,614,the Japanese company est. 1870 and named for 3 plant leaves,Mitsubishi,Singular,No
3,Discrete Facts,Nations of the World,Japan,615,the Japanese company founded by Yataro Iwasaki and initially called Tsukumo Shokai,Mitsubishi,Singular,No
3,Discrete Facts,Nations of the World,Japan,616,the rhombus-shaped plant leaf of the Mitsubishi logo,Water caltrop,Singular,No
3,Discrete Facts,Nations of the World,Japan,617,"the company est. 1933 named for ""Japanese industries""",Nissan,Singular,No
3,Discrete Facts,Nations of the World,Japan,618,"the Japanese company named after a river whose name means ""50 Bells""",Isuzu,Singular,No
3,Discrete Facts,Nations of the World,Japan,619,the Japanese company est. 1946 and named for founder Soichiro,Honda,Singular,No
3,Discrete Facts,Nations of the World,Japan,620,the first Japanese luxury car division,Acura (of Honda),Singular,No
3,Discrete Facts,Nations of the World,Japan,621,the Johnny come lately of Japanese car manufacturers being est. 1953,Subaru,Singular,No
3,Summary Lists,Nations of the World,Japan,622,the 4 main Japanese motorcycle makers,SHaKY: Suzuki Honda Kawasaki Yamaha,Plural,No
3,Intersections,Nations of the World,Japan,623,a Japanese motorcycle maker and musical instrument maker,Yamaha,Singular,No
3,Intersections,Nations of the World,Japan,624,a Japanese motorcycle maker and a character in Madame Butterfly (or You Only Live Twice),Suzuki,Singular,No
3,Discrete Facts,Nations of the World,Japan,625,the Japanese est. 1887 as Nippon Gakki company,Yamaha,Singular,No
3,Discrete Facts,Nations of the World,Japan,626,"the motorcycle maker whose models begin ""YZ""",Yamaha,Singular,No
3,Discrete Facts,Nations of the World,Japan,627,"the player of the ""Million Dollar Piano"" made by Yamaha",Elton John (at Caesars Palace),Singular,Yes
3,Discrete Facts,Nations of the World,Japan,628,the maker of the synthesizer used in the Bladerunner movies,Yamaha,Singular,No
3,Discrete Facts,Nations of the World,Japan,629,the film scorers for the 2 Bladerunner films,Vangelis; Hans Zimmer,Plural,Yes
3,Intersections,Nations of the World,Japan,630,a Japanese motorcycle maker and a city between Tokyo and Yokohama,Kawasaki,Singular,No
3,Discrete Facts,Nations of the World,Japan,631,"the Japanese motorcycle maker known for the slogan ""let the good times roll""",Kawasaki,Singular,No
3,Discrete Facts,Nations of the World,Japan,632,the manufacturer of the Gold Wing motorcycle,Honda,Singular,No
3,Discrete Facts,Nations of the World,Japan,633,the company est. 1889 to make Hanafuda trading cards,Nintendo (yes really),Singular,No
3,Discrete Facts,Nations of the World,Japan,634,the Japanese literary magazine with a prize for new writers,Gunzo,Singular,No
3,Discrete Facts,Nations of the World,Japan,635,the biggest and most populous Japanese island,Honshu,Singular,No
3,Discrete Facts,Nations of the World,Japan,636,the smallest and least populous of Japan's 4 main islands,Shikoku,Singular,No
3,Discrete Facts,Nations of the World,Japan,637,the northernmost main Japanese island,Hokkaido,Singular,No
3,Discrete Facts,Nations of the World,Japan,638,the capital of Hokkaido,Sapporo,Singular,No
3,Discrete Facts,Nations of the World,Japan,639,the Japanese city that's also the country's oldest beer brand (est. 1876),Sapporo,Singular,No
3,Discrete Facts,Nations of the World,Japan,640,the Japanese island with the second most people,Kyushu,Singular,No
3,Discrete Facts,Nations of the World,Japan,641,the Japanese island that's closest to Asian mainland,Kyushu,Singular,No
3,Discrete Facts,Nations of the World,Japan,642,the 1st Asian city to host the Winter Olympics,Sapporo 1972,Singular,No
3,Discrete Facts,Nations of the World,Japan,643,the body of water near Sapporo Japan,Otaru Bay,Singular,No
3,Discrete Facts,Nations of the World,Japan,644,the Japanese city with a Snow Festival,Sapporo on Hokkaido,Singular,No
3,Discrete Facts,Nations of the World,Japan,645,the tallest mountain on Hokkaido--and also a beer name,Asahi,Singular,No
3,Discrete Facts,Nations of the World,Japan,646,the traditional/indigenous people/language of Hokkaido,Ainu,Singular,No
3,Discrete Facts,Nations of the World,Japan,647,"the northernmost point on Japan, on Hokkaido",Cape Soya,Singular,No
3,Discrete Facts,Nations of the World,Japan,648,the sea north of Japan's Hokkaido,Sea of Okhotsk,Singular,No
3,Discrete Facts,Nations of the World,Japan,649,the strait that separates Hokkaido from Honshu,Tsugaru Strait,Singular,No
3,Discrete Facts,Nations of the World,Japan,650,the short-named mountain on Hokkaido near the Tsugaru Strait,"Mount ""E""",Singular,No
3,Discrete Facts,Nations of the World,Japan,651,the biggest grassland on Hokkaido,the Ishikari Plain,Singular,No
3,Discrete Facts,Nations of the World,Japan,652,the old name for Tokyo,Edo,Singular,No
3,Discrete Facts,Nations of the World,Japan,653,the structure named Edo,Edo Castle,Singular,No
3,Discrete Facts,Nations of the World,Japan,654,the 2 main airports in Tokyo,Haneda NHD & Narita,Plural,No
3,Discrete Facts,Nations of the World,Japan,655,the 1st Asian city to host an Olympics,Tokyo in 64,Singular,No
3,Discrete Facts,Nations of the World,Japan,656,the 1st Asian city to host a second Olympics,"Tokyo in ""2020""",Singular,No
3,Discrete Facts,Nations of the World,Japan,657,Iva Toguri d'Aquino,Tokyo Rose,Singular,Yes
3,Discrete Facts,Nations of the World,Japan,658,"the POTUS who pardoned ""Tokyo Rose""",Ford,Singular,Yes
3,Discrete Facts,Nations of the World,Japan,659,the company founded in Tokyo in 1946 by 2 engineers,Sony,Singular,No
3,Discrete Facts,Nations of the World,Japan,660,the famous Tokyo park,Yoyogi Park,Singular,No
3,Discrete Facts,Nations of the World,Japan,661,"the glam shopping district of Tokyo named for a ""silver mine""",Ginza,Singular,No
3,Discrete Facts,Nations of the World,Japan,662,"the Tokyo district popularized by Gwen Stefani's ""girls""",Harajuku,Singular,No
3,Discrete Facts,Nations of the World,Japan,663,the world's busiest train station (found in Tokyo),Shinjuku Station,Singular,No
3,Discrete Facts,Nations of the World,Japan,664,the city in Tokyo where the Ghibli museum is,Mitaka,Singular,No
3,Discrete Facts,Nations of the World,Japan,665,"Japan's second city, named ""side beach""",Yokohama,Singular,No
3,Pavlovs,Nations of the World,Japan,666,"the ""port city on Tokyo Bay""",Yokohama,Singular,No
3,Discrete Facts,Nations of the World,Japan,667,the disaster that destroyed Yokohama in 1923,the Kanto Bay earthquake,Singular,No
3,Discrete Facts,Nations of the World,Japan,668,the capital of Kanagawa Prefecture,Yokohama,Singular,No
3,Discrete Facts,Nations of the World,Japan,669,the kind of man who's said to have invented the rickshaw in Yokohama in 1869,a Baptist minister,Singular,No
3,Discrete Facts,Nations of the World,Japan,670,the three cities of Japan's KOK metro area,"Kyoto, Osaka, Kobe",Plural,No
3,Discrete Facts,Nations of the World,Japan,671,the capital of Japan for 1000+ years,Kyoto,Singular,No
3,Discrete Facts,Nations of the World,Japan,672,the Japanese city with a bamboo forest a Philosopher's Path and a Buddhist Temple from AD 778,Kyoto,Singular,No
3,Discrete Facts,Nations of the World,Japan,673,the 1997 UN protocol on greenhouse gases,Kyoto Protocol,Singular,No
3,Pavlovs,Nations of the World,Japan,674,"the Japanese city known for textiles, culture, and Buddhism",Kyoto,Singular,No
3,Discrete Facts,Nations of the World,Japan,675,Japan's third-largest city,Osaka,Singular,No
3,Discrete Facts,Nations of the World,Japan,676,the 1st city in Asia to host a World's Fair,Osaka '70,Singular,No
3,Discrete Facts,Nations of the World,Japan,677,the Kitchen and Venice of Japan,Osaka,Singular,No
3,Discrete Facts,Nations of the World,Japan,678,the birthplace of Hideo Nomo,Osaka,Singular,No
3,Discrete Facts,Nations of the World,Japan,679,the current Japanese tennis female great,Naomi Osaka,Singular,No
3,Discrete Facts,Nations of the World,Japan,680,the city of 1.6 million on Osaka Bay,Kobe,Singular,No
3,Discrete Facts,Nations of the World,Japan,681,the site of the March 11 2011 nuclear meltdown,Fukushima,Singular,No
3,Discrete Facts,Nations of the World,Japan,682,the first woman to summit Everest,Junko Tabei,Singular,No
3,Discrete Facts,Nations of the World,Japan,683,the nuclear plant that had a meltdown in Fukushima,"Daichii ""Number One""",Singular,No
3,Discrete Facts,Nations of the World,Japan,684,the 1998 Winter Olympics host,Nagano,Singular,No
3,Discrete Facts,Nations of the World,Japan,685,the Japanese city with the Peace Memorial Park,Hiroshima,Singular,No
3,Discrete Facts,Nations of the World,Japan,686,the Pritzker-winning architect who rebuilt Hiroshima,Kenzo Tange,Singular,Yes
3,Discrete Facts,Nations of the World,Japan,687,"the 1959 film ""Mon Amour""",Hiroshima Mon Amour,Singular,No
3,Discrete Facts,Nations of the World,Japan,688,the 1995 Yoko Ono song,Hiroshima Sky is Always Blue,Singular,No
3,Discrete Facts,Nations of the World,Japan,689,the 1st sitting POTUS to visit Hiroshima,Obama in 2016,Singular,Yes
3,Discrete Facts,Nations of the World,Japan,690,the 1992 Winter Olympics American skating champ of Japanese heritage,Kristi Yamaguchi,Singular,Yes
3,Discrete Facts,Nations of the World,Japan,691,the big port on Kyushu,Nagasaki,Singular,No
3,Discrete Facts,Nations of the World,Japan,692,the setting for Madame Butterfly,Nagasaki,Singular,No
3,Discrete Facts,Nations of the World,Japan,693,the only Japanese window on the West from 1630s to 1850s,Nagasaki,Singular,No
3,Discrete Facts,Nations of the World,Japan,694,the city where Pope Francis spoke against atomic weapons in 2019,Nagasaki,Singular,No
3,Discrete Facts,Nations of the World,Japan,695,the port city where the original Kamikazes happened,Fukuoka on Kyushu,Singular,No
3,Discrete Facts,Nations of the World,Japan,696,the island where Nagasaki is,Kyushu,Singular,No
3,Discrete Facts,Nations of the World,Japan,697,the island where Miyazaki is,Kyushu,Singular,No
3,Discrete Facts,Nations of the World,Japan,698,the island where Osaka is,Honshu,Singular,No
3,Discrete Facts,Nations of the World,Japan,699,the island where Kobe is,Honshu,Singular,No
3,Discrete Facts,Nations of the World,Japan,700,the island where Kyoto is,Honshu,Singular,No
3,Discrete Facts,Nations of the World,Japan,701,the island where Hiroshima is,Honshu,Singular,No
3,Discrete Facts,Nations of the World,Japan,702,the island where Yokohama is,Honshu,Singular,No
3,Discrete Facts,Nations of the World,Japan,703,the world's longest rail tunnel--one that connects Honshu and Hokkaido,Seikan Tunnel,Singular,No
3,Discrete Facts,Nations of the World,Japan,704,the world's longest suspension bridge--one that connects Honshu with Shikoku,Great Seto Bridge,Singular,No
3,Discrete Facts,Nations of the World,Japan,705,the strait that separates Kyushu from Honshu,Kanmon Strait,Singular,No
3,Discrete Facts,Nations of the World,Japan,706,"the main Japanese island that does not end in ""u""",Hokkaido,Singular,No
3,Discrete Facts,Nations of the World,Japan,707,the strait that separates Shikoku from Honshu,Akashi Strait,Singular,No
3,Discrete Facts,Nations of the World,Japan,708,the vestibule bay to Tokyo Bay,Sagami Bay,Singular,No
3,Discrete Facts,Nations of the World,Japan,709,the longest Japanese river,Shinano,Singular,No
3,Discrete Facts,Nations of the World,Japan,710,the sea that separates Honshu from the other 2 main islands,the Inland Sea,Singular,No
3,Discrete Facts,Nations of the World,Japan,711,the capital of Japan from 794 to 1868,Kyoto,Singular,No
3,Discrete Facts,Nations of the World,Japan,712,the bygone Japanese military dictator,Shogun,Singular,No
3,Discrete Facts,Nations of the World,Japan,713,"the landlord/warrior Japanese class meaning ""one who serves""",Samurai,Singular,No
3,Discrete Facts,Nations of the World,Japan,714,a samurai without a master,Ronin,Singular,No
3,Discrete Facts,Nations of the World,Japan,715,the city picked as the Japanese capital by Emperor Kammu,Kyoto,Singular,No
3,Discrete Facts,Nations of the World,Japan,716,the 1274 and 1281 events,"the ""Kamikaze"" protected Japan from Kublai Khan",Singular,No
3,Discrete Facts,Nations of the World,Japan,717,the unifier of Japan in 1600/1603,Tokugawa Ieyasu,Singular,No
3,Discrete Facts,Nations of the World,Japan,718,the powerful Japanese feudal lords,Daimyo,Singular,No
3,Discrete Facts,Nations of the World,Japan,719,the end of the Edo Period,Bakumatsu,Singular,No
3,Discrete Facts,Nations of the World,Japan,720,the Commodore in Tokyo Bay in 1853,Matthew Perry,Singular,No
3,Discrete Facts,Nations of the World,Japan,721,the 1850's treaties that opened Japan,Kanagawa and Harris,Plural,No
3,Discrete Facts,Nations of the World,Japan,722,the emperor AKA Matsuhito,Meiji,Singular,No
3,Discrete Facts,Nations of the World,Japan,723,the decisive battle of the Russo-Japanese War,Mukden nowadays Shenyang,Singular,No
3,Discrete Facts,Nations of the World,Japan,724,the port city ceded by Russia to Japan by Portsmouth,Port Arthur nowadays Lushun,Singular,No
3,Discrete Facts,Nations of the World,Japan,725,the port city in the Yellow Sea between the Bohai Sea and Korea Bay,Port Arthur nowadays Lushun,Singular,No
3,Discrete Facts,Nations of the World,Japan,726,"""Operation Z""",the Pearl Harbor attack,Singular,No
3,Discrete Facts,Nations of the World,Japan,727,the only battleship that got underway to attack on 12/7/1941,Nevada,Singular,No
3,Intersections,Nations of the World,Japan,728,the only battleship present at Pearl Harbor and also Normandy,Nevada,Singular,No
3,Discrete Facts,Nations of the World,Japan,729,the battleship that sank en route to repair post Pearl Harbor,Oklahoma,Singular,No
1,Discrete Facts,Nations of the World,Japan,730,the Admiral who planned Pearl Harbor and was later shot down over New Guinea,Yamamoto,Singular,No
3,Discrete Facts,Nations of the World,Japan,731,the phrase attributed spuriously to Admiral Yamamoto about America,"""sleeping giant""",Singular,No
3,Discrete Facts,Nations of the World,Japan,732,the great Japanese actor and collaborator with Kurosawa (1920-97),Toshiro Mifune,Singular,No
4,Discrete Facts,Nations of the World,Japan,733,the 5 stages of sovereignty over Port Arthur,China Russia Japan USSR China,Plural,No
2,Discrete Facts,Nations of the World,Japan,734,the 1st US possession occupied by the Japanese,Guam,Singular,No
2,Discrete Facts,Nations of the World,Japan,735,the other signal US place attacked on 12/7/1941,Wake Island,Singular,No
2,Discrete Facts,Nations of the World,Japan,736,the battle by which the Japanese took Jakarta,Battle of the Java Sea,Singular,No
2,Discrete Facts,Nations of the World,Japan,737,Japan's last major naval offensive,Battle of Leyte Gulf,Singular,No
1,Discrete Facts,Nations of the World,Japan,738,the plane that dropped the bomb on Hiroshima,a B-29 nicknamed Enola Gay,Singular,No
2,Discrete Facts,Nations of the World,Japan,739,the Hiroshima pilot,Paul Tibbets,Singular,No
1,Discrete Facts,Nations of the World,Japan,740,the Hiroshima bomb and substance,"""Little Boy"" Uranium",Singular,No
1,Discrete Facts,Nations of the World,Japan,741,the Nagasaki bomb and substance,"""Fat Man"" Plutonium",Singular,No
1,Discrete Facts,Nations of the World,Japan,742,the Nagasaki plane,a B-29 nicknamed Bockscar,Singular,No
4,Discrete Facts,Nations of the World,Japan,743,the city diverted away from bc of weather on 8/9/1945,Kokura,Singular,No
3,Discrete Facts,Nations of the World,Japan,744,the codename for Air Force involvement in the Atomic bomb,Silverplate,Singular,No
2,Discrete Facts,Nations of the World,Japan,745,the Japanese PM hanged for WWII,Hideki Tojo,Singular,No
3,Discrete Facts,Nations of the World,Japan,746,the 1951 treaty that re-normalized Japan with the West,Treaty of San Francisco,Singular,No
4,Discrete Facts,Nations of the World,Japan,747,the despondent nickname for Japan since the asset bubble burst,The Lost Decades,Singular,No
4,Discrete Facts,Nations of the World,Japan,748,the 3rd nation to launch an interplanetary spacecraft,Japan in 1998 (Nozomi did not make it to Mars),Singular,No
4,Discrete Facts,Nations of the World,Japan,749,the max severity on the International Nuclear Event Scale,7 (Chernobyl and Fukushima e.g.),Singular,No
3,Discrete Facts,Nations of the World,Japan,750,the honorary citizen of Japan in 2015,Godzilla,Singular,No
3,Discrete Facts,Nations of the World,Japan,751,Shinzo's economic philosophy,Abenomics,Singular,No
3,Discrete Facts,Nations of the World,Japan,752,the March 1995 Tokyo tragedy,"the Sarin gas attack perpetrated by the ""Aleph"" cult (killed 14)",Singular,No
3,Discrete Facts,Nations of the World,Japan,753,"the cuisine derived from Japanese for ""sour""",Sushi,Singular,No
3,Discrete Facts,Nations of the World,Japan,754,"just the raw fish/meat named from Japanese for ""stab""",Sashimi,Singular,No
4,Discrete Facts,Nations of the World,Japan,755,the Japanese pre-Western plant-based confections,Wagashi,Singular,No
4,Discrete Facts,Nations of the World,Japan,756,"""chef's choice"" at a sushi joint",Omakase,Singular,No
1,Discrete Facts,Nations of the World,Japan,757,Japanese boxed lunches,Bento,Singular,No
2,Discrete Facts,Nations of the World,Japan,758,the pickled ginger eaten with sushi,Gari,Singular,No
1,Discrete Facts,Nations of the World,Japan,759,"""Japanese horseradish""",Wasabi,Singular,No
1,Discrete Facts,Nations of the World,Japan,760,sushi seaweed,Nori,Singular,No
2,Discrete Facts,Nations of the World,Japan,761,the Japanese for white radish,Daikon,Singular,No
2,Discrete Facts,Nations of the World,Japan,762,Japanese rice balls,Onigiri,Singular,No
1,Discrete Facts,Nations of the World,Japan,763,Japanese soybeans served in the pod,Edamame,Singular,No
2,Discrete Facts,Nations of the World,Japan,764,Japanese dumplings,Gyoza,Singular,No
2,Discrete Facts,Nations of the World,Japan,765,the meaning of Unagi,freshwater eel,Singular,No
2,Discrete Facts,Nations of the World,Japan,766,a saltwater eel in sushi,Anago,Singular,No
3,Discrete Facts,Nations of the World,Japan,767,"the ""sea urchin treat"" in sushi",Uni,Singular,No
2,Discrete Facts,Nations of the World,Japan,768,halibut in sushi,Hirame,Singular,No
2,Discrete Facts,Nations of the World,Japan,769,fatty tuna in sushi,toro,Singular,No
1,Discrete Facts,Nations of the World,Japan,770,hamachi OR Inada OR buri depending on the size,Yellowtail tuna,Singular,No
1,Discrete Facts,Nations of the World,Japan,771,ahi AKA Thunnus albacares,Yellowfin,Singular,No
5,Discrete Facts,Nations of the World,Japan,772,Kajiki in sushi,Swordfish,Singular,No
1,Discrete Facts,Nations of the World,Japan,773,the main Japanese sword,Katana,Singular,No
5,Discrete Facts,Nations of the World,Japan,774,sardine sushi,Iwashi,Singular,No
